loss,accuracy,val_loss,val_accuracy
0.6895783543586731,0.5358573794364929,0.6899385452270508,0.5350701212882996
0.6785726547241211,0.5785256624221802,0.691677987575531,0.5006012320518494
0.6687846183776855,0.5992588400840759,0.6685562133789062,0.5376753211021423
0.6593140363693237,0.6131309866905212,0.6596708297729492,0.5535070300102234
0.6481101512908936,0.6296073794364929,0.6251956224441528,0.6835671067237854
0.6397878527641296,0.6391226053237915,0.6664450764656067,0.5551102161407471
0.6325315833091736,0.6476362347602844,0.600979745388031,0.706813633441925
0.6209638118743896,0.6679186820983887,0.5768193006515503,0.7464929819107056
0.6091665625572205,0.680739164352417,0.5775723457336426,0.73567134141922
0.5887485146522522,0.6982171535491943,0.5354690551757812,0.774549126625061
0.5678316354751587,0.7227063179016113,0.674789547920227,0.587374746799469
0.5337896347045898,0.7543069124221802,0.46546560525894165,0.848296582698822
0.4782790541648865,0.8000300526618958,0.40411219000816345,0.8803607225418091
0.41305479407310486,0.8413461446762085,0.3307221233844757,0.8927855491638184
0.35633584856987,0.8675380349159241,0.29501593112945557,0.9022043943405151
0.3115293085575104,0.8814603090286255,0.25942671298980713,0.913827657699585
0.2812621295452118,0.8954827785491943,0.23091384768486023,0.9184368848800659
0.26350879669189453,0.9030448794364929,0.223806232213974,0.9188376665115356
0.24598877131938934,0.9120092391967773,0.22612424194812775,0.9210420846939087
0.23530445992946625,0.9184194803237915,0.2133786827325821,0.9168336391448975
